city,lat,lon
北京,39.904987,116.405289
上海,31.231707,121.472641
广州,23.125177,113.28064
深圳,22.33,114.07
天津,39.125595,117.190186
重庆,29.533155,106.504959
哈尔滨,45.756966,126.642464
长春,43.886841,125.324501
沈阳,41.796768,123.429092
呼和浩特,40.841490,111.751990
石家庄,38.045475,114.502464
太原,37.857014,112.549248
济南,36.675808,117.000923
郑州,34.757977,113.665413
西安,34.263161,108.948021
兰州,36.061380,103.834170
西宁,36.617290,101.777820
银川,38.486440,106.232480
乌鲁木齐,43.826630,87.616880
拉萨,29.644150,91.11450
成都,30.659462,104.065735
贵阳,26.578342,106.713478
昆明,25.040609,102.71225
杭州,30.287458,120.15358
南昌,28.676493,115.892151
长沙,28.19409,112.982277
武汉,30.584354,114.298569
南京,32.041546,118.76741
合肥,31.861191,117.283043
福州,26.075302,119.306236
厦门,24.27,118.06
泉州,24.56,118.36
汕头,23.39,116.69
佛山,23.05,113.11
东莞,23.04,113.75
中山,22.52,113.38
珠海,22.3,113.52
江门,22.61,113.06
惠州,23.09,114.4
肇庆,23.05,112.44
海口,20.044220,110.199890
三亚,18.25,109.50
南宁,22.82402,108.320007
桂林,25.17,110.17
柳州,23.19,109.24
北海,21.28,109.07
梧州,23.29,111.20
贵港,23.06,109.36
玉林,22.38,110.09
百色,23.54,106.36
钦州,21.57,108.37
防城港,21.37,108.20
安庆,30.52,117.03
蚌埠,32.93,117.34
马鞍山,31.56,118.48
宿州,33.63,116.97
滁州,32.33,118.31
六安,31.73,116.49
阜阳,32.89,115.81
亳州,33.86,116.76
淮南,32.62,116.98
淮北,33.97,116.77
铜陵,30.93,117.82
芜湖,31.33,118.38
宣城,31.95,118.73
黄山,29.43,118.18
三明,26.13,117.36
南平,26.38,118.10
龙岩,25.06,117.01
宁德,26.39,119.31
莆田,24.26,119.01
漳州,24.31,117.39
九江,29.71,115.97
赣州,25.85,114.95
上饶,28.46,117.97
宜春,27.81,114.35
吉安,27.10,114.97
抚州,27.99,116.22
景德镇,29.31,117.22
萍乡,27.61,113.82
湘潭,27.87,112.91
株洲,27.83,113.16
岳阳,29.37,113.09
衡阳,26.89,112.59
邵阳,27.24,111.47
常德,29.04,111.69
益阳,28.33,112.36
娄底,27.75,111.95
郴州,25.74,113.03
永州,26.42,111.63
怀化,27.53,110.08
张家界,29.10,110.47
自贡,29.34,104.78
攀枝花,26.58,101.71
泸州,28.91,105.46
德阳,31.17,104.38
绵阳,31.48,104.73
广元,32.42,105.86
遂宁,30.53,105.59
内江,29.56,105.08
